,user,text,favorite_count,retweet_count,created_at
42,elonmusk,"@Erdayastronaut @NASASpaceflight Booster 7 now returns to high bay for robustness upgrades &amp; booster 8 moves to pad for testing.

Next big test is probably full stack wet dress rehearsal, then 33 engine firing in a few weeks.",10940,926,2022-09-19 18:53:02+00:00
43,elonmusk,7 engine static fire https://t.co/sOm8Jx8rJq,125539,9696,2022-09-19 18:30:43+00:00
44,elonmusk,@NASASpaceflight Chamber pressure looked good on all 7 engines,17506,772,2022-09-19 18:00:22+00:00
45,elonmusk,"@SciGuySpace Yes, seven engine static fire",10052,536,2022-09-19 17:14:34+00:00
46,elonmusk,@RonMadison11 @CathieDWood @federalreserve There is too much latency in Fed decisions. Problematic in a fast-changing world.,3469,292,2022-09-19 17:13:42+00:00
47,elonmusk,@PopMech Tunnels ftw,7538,336,2022-09-19 16:28:12+00:00
48,elonmusk,"@CathieDWood Yes, the fundamental error is reasoning by analogy, rather than first principles",13194,998,2022-09-19 15:16:05+00:00
49,elonmusk,"starry, starry night 
paint your palette
blue and gray https://t.co/iUm9pzfDGc",196157,13963,2022-09-19 06:30:06+00:00
50,elonmusk,"Starlink is now active on all continents, including Antarctica 
https://t.co/Q1VvqV5G0i",109718,12170,2022-09-19 03:26:40+00:00
51,elonmusk,@SpaceX Another batch with lasers reaches orbit,37077,1485,2022-09-19 02:59:33+00:00
52,elonmusk,@PPathole @NewsfromScience @ScienceVisuals True,3134,170,2022-09-18 17:24:03+00:00
53,elonmusk,"@NewsfromScience @ScienceVisuals Starship will be an incredible enabler for science. Full reusability &amp; high production rate drive several orders of magnitude improvement in $/kg to orbit &amp; beyond.

Next gen Starlink constellation is primary user of this rocket, so science doesn’t need to cover fixed cost.",17710,1398,2022-09-18 16:43:12+00:00
54,elonmusk,"@Kristennetten Should be Alexander, the Greatest. After all, is there a better Alexander?",5487,243,2022-09-18 03:52:29+00:00
55,elonmusk,@cb_doge 🤣,1741,78,2022-09-18 03:50:22+00:00
56,elonmusk,https://t.co/VDcpkjm56j,251775,21338,2022-09-18 03:16:21+00:00
57,elonmusk,@erikbryn @ericschmidt @CondoleezzaRice @scsp_ai @Ukraine Hyperloop could do that trip in less than half an hour,3928,252,2022-09-17 22:16:08+00:00
58,elonmusk,@Rainmaker1973 Looks like they’re fighting an actual fire demon!,55758,1478,2022-09-17 19:44:19+00:00
59,elonmusk,to help mend the fault in our stars,50739,2250,2022-09-17 15:09:12+00:00
60,elonmusk,@LarckeningXuruo @cb_doge It will be later this year when laser links activate on polar constellation,2742,182,2022-09-17 14:45:55+00:00
61,elonmusk,Starlink is meant for peaceful use only,219778,12713,2022-09-17 01:48:30+00:00
62,elonmusk,@ExposingBiden @MUSCkids Is it really true that four-year-olds are receiving hormone treatment?,33235,2911,2022-09-16 21:26:49+00:00
63,elonmusk,"@NaturePortfolio @NaturePhysics Technically true, but Earth’s economy is extremely far from physical limits. 

Energy is the foundation of the economy, but we’re using a very tiny amount of available energy, even if we only used PV.",10224,828,2022-09-16 21:23:35+00:00
64,elonmusk,@GailAlfarATX @Tesla @aelluswamy Beta expanding to safety scores above 80 after 10.69.2.1 goes out,5334,808,2022-09-15 15:55:27+00:00
65,elonmusk,"@GailAlfarATX @Tesla @aelluswamy 10.69.2.1 coming out in a few days with additional polish, 10.69.3 comes out shortly after AI Day",13697,812,2022-09-15 15:50:07+00:00
66,elonmusk,@ilyasut or their short shorts https://t.co/Ek4Xby92ga,36496,1345,2022-09-15 00:23:04+00:00
67,elonmusk,"Salted butter is amazing, but should be stored at room temperature https://t.co/8RSr340JB8",127831,7677,2022-09-14 07:38:04+00:00
68,elonmusk,@corey_aronson @CathieDWood Drop 0.25%,3690,345,2022-09-14 07:28:10+00:00
69,elonmusk,"@CathieDWood Exactly, this is neither subtle nor secret",12890,588,2022-09-14 07:17:09+00:00
70,elonmusk,"@WholeMarsBlog Layers upon layers of neural nets, ever higher",9595,411,2022-09-14 04:05:18+00:00
71,elonmusk,https://t.co/xMoL9wdXh6,289070,20603,2022-09-14 03:57:18+00:00
72,elonmusk,@HuobiGlobal Subtle 🤣,2342,137,2022-09-13 23:46:29+00:00
73,elonmusk,@HuobiGlobal 🤣,1939,94,2022-09-13 23:41:08+00:00
74,elonmusk,"Note, we are working on making the whistle sound much louder",28078,1574,2022-09-13 23:05:40+00:00
75,elonmusk,But u have to pay in Doge,38988,3273,2022-09-13 23:04:03+00:00
76,elonmusk,"Blow the whistle!
https://t.co/RQLDti0ULZ",49606,3688,2022-09-13 23:02:37+00:00
77,elonmusk,@chrissyfarr True,2200,83,2022-09-13 20:53:56+00:00
78,elonmusk,@kimbal Could be worse,2685,100,2022-09-13 20:12:26+00:00
79,elonmusk,@prasad_s7 @JGrupe @Tesla @SawyerMerritt @DirtyTesLa Fair point,1766,44,2022-09-13 19:32:33+00:00
80,elonmusk,@spideycyp_155 🤣👍,1928,79,2022-09-13 19:30:31+00:00
81,elonmusk,@andst7 Good thread,3499,159,2022-09-13 19:26:55+00:00
82,elonmusk,https://t.co/qjjDVyOszp,37196,3092,2022-09-13 18:49:25+00:00
83,elonmusk,@TaraBull808 Sounds pretty bad,5956,210,2022-09-13 18:48:18+00:00
84,elonmusk,"Please fix @twitter, @verified, @paraga",32654,2037,2022-09-13 18:07:16+00:00
85,elonmusk,My tweets are being suppressed!,131232,9475,2022-09-13 18:05:36+00:00
86,elonmusk,@ajtourville 🤣,1522,49,2022-09-13 17:59:03+00:00
87,elonmusk,"This says it all:
“None of the members of the Stripe chat who spoke with me said that they accepted payment or agreed to speak to the firms about Zatko, and all said they wished to defend his credibility.”",10615,726,2022-09-13 17:55:46+00:00
88,elonmusk,Anyone know who the secret clients are? Let’s out them on Twitter rn haha. https://t.co/g8D1mQZLRv,18532,1927,2022-09-13 17:45:44+00:00
89,elonmusk,@JohnArnoldFndtn Absolutely,2252,92,2022-09-13 17:11:58+00:00
90,elonmusk,@JGrupe @Tesla @SawyerMerritt @DirtyTesLa True,10714,161,2022-09-13 16:56:48+00:00
91,elonmusk,@TeslaHype I’m testing it today in Palo Alto,2083,82,2022-09-13 16:56:16+00:00
92,elonmusk,Rome show is underappreciated https://t.co/oqd3B6O5Mw,20639,1148,2022-09-13 16:51:22+00:00
93,elonmusk,"@Tesmanian_com This was harder than reaching volume production, which was insanely hard",6646,293,2022-09-13 16:42:49+00:00
94,elonmusk,🍿,50219,3834,2022-09-13 14:48:08+00:00
95,elonmusk,@HardcoreHistory There is appetite for an infinite number of interesting tweets,7431,400,2022-09-13 01:59:35+00:00
96,elonmusk,@BillyM2k 🤣,13401,370,2022-09-13 01:57:42+00:00
97,elonmusk,Take a moment to … https://t.co/R3hK5u4UW6,371765,29463,2022-09-13 00:16:11+00:00
98,elonmusk,The residual value of gasoline cars bought today will be much lower than people think,37685,2367,2022-09-12 22:19:11+00:00
99,elonmusk,@EvaFoxU Supercharger centers with solar &amp; batteries are the long-term vision,11872,765,2022-09-12 22:13:56+00:00
100,elonmusk,Won’t be long before we view gasoline cars the same way we view steam engines today,182482,14647,2022-09-12 20:07:08+00:00
101,elonmusk,@TrimontiumTrust @HardcoreHistory Socrates can be a little boring tbh,8161,342,2022-09-12 19:45:34+00:00
102,elonmusk,@ICannot_Enough @ilyasut Yes,2575,99,2022-09-12 17:50:09+00:00
103,elonmusk,"@ilyasut Our view of reality is always wrong, just a question of how wrong",23317,2187,2022-09-12 17:44:52+00:00
104,elonmusk,@teslaownersSV @cb_doge @Tesla @mayemusk I guess we could make Joe mode quieter,3787,172,2022-09-12 05:44:11+00:00
